name,year,count
Heteronympha merope,1903,1
Heteronympha merope,1904,0
Heteronympha merope,1905,0
Heteronympha merope,1906,0
Heteronympha merope,1907,0
Heteronympha merope,1908,0
Heteronympha merope,1909,0
Heteronympha merope,1910,0
Heteronympha merope,1911,0
Heteronympha merope,1912,0
Heteronympha merope,1913,0
Heteronympha merope,1914,1
Heteronympha merope,1915,0
Heteronympha merope,1916,0
Heteronympha merope,1917,0
Heteronympha merope,1918,0
Heteronympha merope,1919,0
Heteronympha merope,1920,0
Heteronympha merope,1921,0
Heteronympha merope,1922,0
Heteronympha merope,1923,0
Heteronympha merope,1924,0
Heteronympha merope,1925,2
Heteronympha merope,1926,0
Heteronympha merope,1927,0
Heteronympha merope,1928,0
Heteronympha merope,1929,0
Heteronympha merope,1930,0
Heteronympha merope,1931,0
Heteronympha merope,1932,0
Heteronympha merope,1933,0
Heteronympha merope,1934,0
Heteronympha merope,1935,0
Heteronympha merope,1936,0
Heteronympha merope,1937,0
Heteronympha merope,1938,0
Heteronympha merope,1939,0
Heteronympha merope,1940,0
Heteronympha merope,1941,0
Heteronympha merope,1942,0
Heteronympha merope,1943,0
Heteronympha merope,1944,0
Heteronympha merope,1945,0
Heteronympha merope,1946,0
Heteronympha merope,1947,0
Heteronympha merope,1948,1
Heteronympha merope,1949,0
Heteronympha merope,1950,0
Heteronympha merope,1951,0
Heteronympha merope,1952,0
Heteronympha merope,1953,0
Heteronympha merope,1954,0
Heteronympha merope,1955,0
Heteronympha merope,1956,0
Heteronympha merope,1957,0
Heteronympha merope,1958,0
Heteronympha merope,1959,0
Heteronympha merope,1960,0
Heteronympha merope,1961,0
Heteronympha merope,1962,0
Heteronympha merope,1963,0
Heteronympha merope,1964,0
Heteronympha merope,1965,0
Heteronympha merope,1966,0
Heteronympha merope,1967,0
Heteronympha merope,1968,0
Heteronympha merope,1969,0
Heteronympha merope,1970,0
Heteronympha merope,1971,0
Heteronympha merope,1972,0
Heteronympha merope,1973,0
Heteronympha merope,1974,0
Heteronympha merope,1975,0
Heteronympha merope,1976,0
Heteronympha merope,1977,0
Heteronympha merope,1978,0
Heteronympha merope,1979,0
Heteronympha merope,1980,0
Heteronympha merope,1981,0
Heteronympha merope,1982,0
Heteronympha merope,1983,0
Heteronympha merope,1984,0
Heteronympha merope,1985,0
Heteronympha merope,1986,0
Heteronympha merope,1987,0
Heteronympha merope,1988,0
Heteronympha merope,1989,0
Heteronympha merope,1990,0
Heteronympha merope,1991,0
Heteronympha merope,1992,0
Heteronympha merope,1993,0
Heteronympha merope,1994,0
Heteronympha merope,1995,0
Heteronympha merope,1996,0
Heteronympha merope,1997,0
Heteronympha merope,1998,0
Heteronympha merope,1999,0
Heteronympha merope,2000,0
Heteronympha merope,2001,0
Heteronympha merope,2002,0
Heteronympha merope,2003,0
Heteronympha merope,2004,0
Heteronympha merope,2005,0
Heteronympha merope,2006,0
Heteronympha merope,2007,0
Heteronympha merope,2008,0
Heteronympha merope,2009,1
Heteronympha merope,2010,0
Heteronympha merope,2011,1
Heteronympha merope,2012,1
Heteronympha merope,2013,1
Heteronympha merope,2014,2
Heteronympha merope,2015,1
Heteronympha merope,2016,2
Heteronympha merope,2017,3
Heteronympha merope,2018,8
Heteronympha merope,2019,3
Heteronympha merope,2020,21
Heteronympha merope,2021,26
Heteronympha merope,2022,56
Heteronympha merope,2023,24
Pieris rapae,1903,0
Pieris rapae,1904,0
Pieris rapae,1905,0
Pieris rapae,1906,0
Pieris rapae,1907,0
Pieris rapae,1908,0
Pieris rapae,1909,0
Pieris rapae,1910,0
Pieris rapae,1911,0
Pieris rapae,1912,0
Pieris rapae,1913,0
Pieris rapae,1914,0
Pieris rapae,1915,0
Pieris rapae,1916,0
Pieris rapae,1917,0
Pieris rapae,1918,0
Pieris rapae,1919,0
Pieris rapae,1920,0
Pieris rapae,1921,0
Pieris rapae,1922,0
Pieris rapae,1923,0
Pieris rapae,1924,0
Pieris rapae,1925,0
Pieris rapae,1926,0
Pieris rapae,1927,0
Pieris rapae,1928,0
Pieris rapae,1929,0
Pieris rapae,1930,0
Pieris rapae,1931,0
Pieris rapae,1932,0
Pieris rapae,1933,0
Pieris rapae,1934,0
Pieris rapae,1935,0
Pieris rapae,1936,0
Pieris rapae,1937,0
Pieris rapae,1938,0
Pieris rapae,1939,0
Pieris rapae,1940,0
Pieris rapae,1941,0
Pieris rapae,1942,0
Pieris rapae,1943,0
Pieris rapae,1944,0
Pieris rapae,1945,0
Pieris rapae,1946,0
Pieris rapae,1947,0
Pieris rapae,1948,0
Pieris rapae,1949,0
Pieris rapae,1950,0
Pieris rapae,1951,0
Pieris rapae,1952,0
Pieris rapae,1953,0
Pieris rapae,1954,0
Pieris rapae,1955,0
Pieris rapae,1956,0
Pieris rapae,1957,0
Pieris rapae,1958,0
Pieris rapae,1959,0
Pieris rapae,1960,0
Pieris rapae,1961,0
Pieris rapae,1962,0
Pieris rapae,1963,0
Pieris rapae,1964,0
Pieris rapae,1965,0
Pieris rapae,1966,0
Pieris rapae,1967,0
Pieris rapae,1968,0
Pieris rapae,1969,0
Pieris rapae,1970,1
Pieris rapae,1971,0
Pieris rapae,1972,0
Pieris rapae,1973,0
Pieris rapae,1974,0
Pieris rapae,1975,0
Pieris rapae,1976,0
Pieris rapae,1977,0
Pieris rapae,1978,0
Pieris rapae,1979,0
Pieris rapae,1980,0
Pieris rapae,1981,0
Pieris rapae,1982,0
Pieris rapae,1983,0
